mode,n_particles,omp_threads_requested,omp_threads_actual,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
free,500000,1,1,1e-03,500,0.284025,1.693167,1.689824,1.690885,1.692172,1.973849,0.295889
pbc,500000,1,1,1e-03,500,0.266286,1.842121,1.842143,1.843404,1.844636,2.108428,0.271423
free,600000,1,1,1e-03,500,0.325842,2.378144,2.370860,2.373486,2.375533,2.696701,0.253073
pbc,600000,1,1,1e-03,500,0.321358,2.596095,2.591176,2.593278,2.596185,2.912534,0.231555
free,700000,1,1,1e-03,500,0.384252,3.194746,3.191770,3.191884,3.192059,3.576022,0.219314
pbc,700000,1,1,1e-03,500,0.377845,3.491093,3.490326,3.492871,3.494634,3.868171,0.200554
free,800000,1,1,1e-03,500,0.448381,4.144793,4.138185,4.140778,4.142662,4.586566,0.193321
pbc,800000,1,1,1e-03,500,0.441727,4.526642,4.523187,4.524779,4.525836,4.964914,0.176866
free,900000,1,1,1e-03,500,0.534160,5.188065,5.182507,5.182724,5.183143,5.716667,0.173661
pbc,900000,1,1,1e-03,500,0.529878,5.661617,5.658569,5.659472,5.660752,6.188448,0.159051
free,1000000,1,1,1e-03,500,0.588547,6.349918,6.346972,6.347383,6.347743,6.935519,0.157555
pbc,1000000,1,1,1e-03,500,0.582815,6.938243,6.935125,6.935957,6.937048,7.517940,0.144194
free,500000,4,4,1e-03,500,0.094685,0.428761,0.424618,0.425402,0.426286,0.519303,1.177529
pbc,500000,4,4,1e-03,500,0.094399,0.464979,0.463352,0.463650,0.464138,0.557750,1.079094
free,600000,4,4,1e-03,500,0.110738,0.599982,0.595966,0.596516,0.596844,0.706704,1.006769
pbc,600000,4,4,1e-03,500,0.109505,0.653001,0.650837,0.651275,0.652120,0.760342,0.921890
free,700000,4,4,1e-03,500,0.127079,0.807075,0.801654,0.802142,0.802424,0.928734,0.873194
pbc,700000,4,4,1e-03,500,0.127564,0.878131,0.875609,0.875770,0.875934,1.003173,0.799443
free,800000,4,4,1e-03,500,0.148108,1.044337,1.039135,1.039698,1.040281,1.187243,0.769871
pbc,800000,4,4,1e-03,500,0.148906,1.136560,1.134585,1.135403,1.136063,1.283491,0.705104
free,900000,4,4,1e-03,500,0.172582,1.306366,1.302276,1.302827,1.303476,1.474857,0.691098
pbc,900000,4,4,1e-03,500,0.172582,1.421787,1.419044,1.419241,1.419514,1.591625,0.634230
free,1000000,4,4,1e-03,500,0.190210,1.597375,1.592395,1.593058,1.593991,1.782605,0.627985
pbc,1000000,4,4,1e-03,500,0.188414,1.740320,1.737323,1.737844,1.738546,1.925737,0.575598
free,500000,8,8,1e-03,500,0.072290,0.221181,0.216372,0.216941,0.218019,0.288662,2.310834
pbc,500000,8,8,1e-03,500,0.069995,0.237982,0.235831,0.235996,0.236252,0.305827,2.120158
free,600000,8,8,1e-03,500,0.083192,0.307696,0.302265,0.302951,0.303875,0.385457,1.985016
pbc,600000,8,8,1e-03,500,0.083490,0.331919,0.330122,0.330203,0.330350,0.413613,1.817510
free,700000,8,8,1e-03,500,0.094279,0.410539,0.405827,0.406130,0.406567,0.500106,1.724872
pbc,700000,8,8,1e-03,500,0.094586,0.445291,0.442948,0.443251,0.443661,0.537534,1.580320
free,800000,8,8,1e-03,500,0.106854,0.529874,0.524923,0.525073,0.525165,0.631776,1.524034
pbc,800000,8,8,1e-03,500,0.108342,0.575172,0.572430,0.572719,0.573234,0.680772,1.397550
free,900000,8,8,1e-03,500,0.124290,0.661797,0.658437,0.658963,0.659731,0.782727,1.366874
pbc,900000,8,8,1e-03,500,0.123840,0.718554,0.715410,0.715504,0.715649,0.839250,1.258019
free,1000000,8,8,1e-03,500,0.135501,0.808759,0.804537,0.805155,0.805689,0.940038,1.242951
pbc,1000000,8,8,1e-03,500,0.135200,0.878290,0.875408,0.875860,0.876250,1.010609,1.142324
free,500000,16,16,1e-03,500,0.058587,0.118815,0.113011,0.113034,0.113051,0.171598,4.424333
pbc,500000,16,16,1e-03,500,0.054466,0.123680,0.122666,0.123308,0.124037,0.177132,4.076120
free,600000,16,16,1e-03,500,0.066896,0.162842,0.156032,0.156114,0.156205,0.222929,3.845355
pbc,600000,16,16,1e-03,500,0.064361,0.172844,0.170182,0.170762,0.171733,0.234543,3.525637
free,700000,16,16,1e-03,500,0.074436,0.214699,0.208236,0.208530,0.209085,0.282672,3.361565
pbc,700000,16,16,1e-03,500,0.073765,0.228932,0.227069,0.227307,0.227626,0.300834,3.082766
free,800000,16,16,1e-03,500,0.081121,0.274251,0.267218,0.267580,0.268018,0.348338,2.993814
pbc,800000,16,16,1e-03,500,0.084087,0.294230,0.291371,0.291542,0.291870,0.375457,2.745644
free,900000,16,16,1e-03,500,0.094317,0.340888,0.335934,0.336262,0.336821,0.430251,2.679098
pbc,900000,16,16,1e-03,500,0.092853,0.366602,0.366601,0.366804,0.367036,0.459453,2.454987
free,1000000,16,16,1e-03,500,0.101562,0.415288,0.409915,0.410673,0.411438,0.511477,2.439530
pbc,1000000,16,16,1e-03,500,0.100580,0.445931,0.443854,0.444397,0.444905,0.544434,2.252993
free,500000,32,32,1e-03,500,0.055817,0.070122,0.061658,0.061738,0.061891,0.117475,8.109303
pbc,500000,32,32,1e-03,500,0.053763,0.067471,0.066642,0.066746,0.066922,0.120405,7.502771
free,600000,32,32,1e-03,500,0.062162,0.093439,0.083576,0.083639,0.083708,0.145738,7.179099
pbc,600000,32,32,1e-03,500,0.061777,0.091385,0.090673,0.091511,0.093006,0.152450,6.617207
free,700000,32,32,1e-03,500,0.068991,0.118828,0.109829,0.109886,0.109991,0.178820,6.373527
pbc,700000,32,32,1e-03,500,0.067366,0.120233,0.119189,0.120813,0.123908,0.186555,5.873019
free,800000,32,32,1e-03,500,0.075869,0.149484,0.139335,0.139439,0.139507,0.215204,5.741567
