mode,n_particles,mpi_ranks,omp_threads,eps,n_per_leaf,create_seconds,eval_warmup_seconds,eval_min_seconds,eval_avg_seconds,eval_max_seconds,total_min_seconds,mpts_per_sec
pbc,500000,4,96,1e-03,500,130.223365,19.408987,18.287804,18.974516,19.535632,148.511169,0.027341
pbc,1000000,4,96,1e-03,500,134.665592,18.081406,16.295154,17.524902,18.490994,150.960746,0.061368
pbc,2000000,4,96,1e-03,500,131.444305,18.595197,17.021680,18.010236,19.513480,148.465985,0.117497
pbc,500000,4,96,1e-06,500,129.018444,19.937657,19.244261,20.041166,20.570872,148.262704,0.025982
pbc,1000000,4,96,1e-06,500,128.943605,19.554368,19.588400,19.783285,20.080640,148.532005,0.051051
pbc,2000000,4,96,1e-06,500,129.176770,19.780545,19.352251,20.003967,20.494444,148.529021,0.103347
pbc,500000,8,48,1e-03,500,175.756355,25.280826,25.219893,25.236114,25.266625,200.976248,0.019826
pbc,1000000,8,48,1e-03,500,174.790162,24.077324,24.741318,25.200702,25.493804,199.531481,0.040418
pbc,2000000,8,48,1e-03,500,176.715882,25.034296,26.319366,26.330246,26.342680,203.035248,0.075990
pbc,500000,8,48,1e-06,500,175.518399,25.240281,25.258717,25.298261,25.320195,200.777116,0.019795
pbc,1000000,8,48,1e-06,500,175.573482,25.920113,24.992613,25.291799,25.827930,200.566095,0.040012
pbc,2000000,8,48,1e-06,500,177.085964,25.523651,25.389883,25.942729,26.796839,202.475847,0.078772
pbc,500000,16,24,1e-03,500,187.650175,26.000295,25.725317,25.797861,25.840117,213.375492,0.019436
pbc,1000000,16,24,1e-03,500,187.370031,26.528656,26.244209,26.307387,26.340211,213.614240,0.038104
pbc,2000000,16,24,1e-03,500,189.728684,28.324653,28.060482,28.102967,28.154863,217.789167,0.071275
pbc,500000,16,24,1e-06,500,187.511139,26.320406,26.020176,26.110430,26.176719,213.531315,0.019216
pbc,1000000,16,24,1e-06,500,187.304706,26.248624,27.240467,27.249809,27.264508,214.545173,0.036710
pbc,2000000,16,24,1e-06,500,189.370135,29.704782,29.252188,29.353693,29.484474,218.622323,0.068371
pbc,500000,32,12,1e-03,500,248.455522,32.924311,32.710553,32.778730,32.886553,281.166075,0.015286
pbc,1000000,32,12,1e-03,500,248.421698,34.063201,33.384524,33.642906,33.863852,281.806222,0.029954
pbc,2000000,32,12,1e-03,500,251.224571,36.743070,36.188303,36.267106,36.388590,287.412874,0.055266
pbc,500000,32,12,1e-06,500,248.618881,33.476304,33.125880,33.194009,33.316679,281.744761,0.015094
pbc,1000000,32,12,1e-06,500,248.455380,35.632661,35.458569,35.563749,35.684496,283.913949,0.028202
pbc,2000000,32,12,1e-06,500,251.576382,39.016911,38.364396,38.607822,38.746931,289.940778,0.052132
